"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","success","phase","task","correct_response","correct"
"1884","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">unitary</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">unitary</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">noodles</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">unitary</div>","m","html-keyboard-response","15","22201","0.0-2.0-1.4","","test","VST","m","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","16","23210","0.0-2.0-2.4","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","24218","0.0-2.0-0.5","","test","","",""
"2136","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">gwmwql</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">gwmwql</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">zjgdys</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">gwmwql</div>","z","html-keyboard-response","18","26355","0.0-2.0-1.5","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","19","27364","0.0-2.0-2.5","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","28372","0.0-2.0-0.6","","test","","",""
"2119","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">uncertain</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">uncertain</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">uncertain</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">cgpfdjfrq</div>","z","html-keyboard-response","21","30492","0.0-2.0-1.6","","test","VST","m","false"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">INCORRECT</p>","null","html-keyboard-response","22","31497","0.0-2.0-2.6","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","32507","0.0-2.0-0.7","","test","","",""
"null","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">kfftyn</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">kfftyn</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">kfftyn</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">kettle</div>","null","html-keyboard-response","24","35513","0.0-2.0-1.7","","test","VST","m","false"
"243","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">MISSED</p>","m","html-keyboard-response","25","35758","0.0-2.0-2.7","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","36772","0.0-2.0-0.8","","test","","",""
"1902","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">utensil</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">smvgxbr</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">utensil</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">utensil</div>","z","html-keyboard-response","27","38675","0.0-2.0-1.8","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","28","39683","0.0-2.0-2.8","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","40692","0.0-2.0-0.9","","test","","",""
"2233","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">picture</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">picture</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">picture</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">pvnxbqy</div>","z","html-keyboard-response","30","42926","0.0-2.0-1.9","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","31","43929","0.0-2.0-2.9","","test","feedback","",""
"","","","fullscreen","32","43931","0.0-3.0","true","","","",""
